Title,Unit(grams),Price(NRs)
Electron   Hot And Cold Water Dispenser,,9399.00
"Samsung  28L Convection Microwave oven  With  Cavity, MC28H/TL",,29480.00
Electron Vacuum Cleaner  (BST-816),,9760.00
"GEM 100 L Direct-Cool Single Door  Mini Bar Refrigerator (GRDN-, Dark Grey)",,17900.00
Whirlpool Refrigerator 245 Ltrs NEO  CLUS Plus Wine  Chromium,,42088.00
"Wega 32 Inch Led Smart Android 9.0 Wifi Frameless Tv, High Sound + Free Wall Mount, 4K &  Supported",,18785.00
"LG 50"" UHD 4K Smart LED TV - 50UQ",,95790.00
Electron  El-1007 Cordless Kettle 1.,,1290.00
Hisense   Refrigerator With Water Dispenser (Red),,28690.00
Midea Auto Timer 4 Gas Burner Hob (096),60.0,36000.00
Electron Stand Fan  Black – (ELFS 492),,4590.00
LG Single Door Refrigerator 190 Ltr - GLD.ARRQ,,34289
SAMSUNG 192Ltr Single Door Refrigerator RR20A,,30490.00
Usb Cordless Portable High Power For Quick Cleaning Mini Auto Vacuum Cleaners,,1599.00
"Whirlpool Single Door Refrigerator 185Ltrs,  Cls Plus Wine Adora",200.0,25650.00
Whirlpool 3 Doors  Refrigerator 240Ltrs  Protton Roy Alpha Steel,,55300.00
Whirlpool Neo 258LH Cls plus Athena Steel  245 L  Frost-Free Double Door Refrigerator,,44775.00
Amahi  Direct Cooling Single Door Mini Refrigerator (AMRSF-130J),,16400
"Sensei 40"" Smart LED TV - S503",,31690.00
Whirlpool   Convection Microwave Oven With Touch,,29350.00
Electron E-Sense Infrared Induction Cooktop Digital Display 2000W All Type Of Utensils Used EL-,,4500.00
Wega 24 Inch Full HD  LED Tv Double Glass Protection Hdmi Vga Av,,11990.00
"GEM 100 L Direct-Cool Single Door  Mini Bar Refrigerator (GRDN-, Dark Grey)",,17000
"Wega 40 Inch Full Hd (1920X1080P) Led Smart TV Android 9. Tv, Double Glass Protection",,30990.00
Walton Mini Refrigerator WFO-JET-0101-RXXX-XX,,14500.00
DELLA DL-BYB Dispenser Normal Hot & Cold With Compressor Cooling & Refrigerator Cabinet,,14499.00
Electron Water Dispenser Desk/ Table Top Water Dispenser (EL-) White,,3620.00
"Skyworth 50""  Uhd Tv",,74200.00
HISENSE  Single Door Mini Refrigerator (Silver),,17999.00
Stand Fan  Maroon – (ELFS 490),,4890.00
"Whirlpool 245L Frost-Free Double Door Refrigerator (Neo 258LH CLS PLUS , Midnight Athena )",,44775.00
WEGA  LED TV With Hi Sound,,13999.00
"Idea Js 32"" Double Glass Android Smart Full Hd Led Tv",,23790.00
Electron Gas Stove Hitachi Model,,4848.00
"Electron Seamless Electric Kettle 1.8L EL-1023,",,1599.00
"Sensei 32"" LED TV - S0505",,17590.00
Della  Hd Led Tv,,14990.00
"Philips  50Put8509/98 Smart  Ultra Hd 50"" Led Tv",,189900.00
Electron  One Cup Multi Utility Electric Jug Eleb-1034 ( ELEB-1034),,1890.00
Philips  24Pha4100/56  Led Tv -  (Black),,22900.00
SAMSUNG RT28A3022GS -  Frost Free Digital Inverter Double Door Refrigerator (Grey Silver),,45990.00
Sensei 24 Inch LED TV - S0403,,13590.00
Videocon 32Dn  Led Tv,,17999.00
CG Hot And Electronic Cooling Water Dispenser - CGWD38I,,12579
Baltra  Carnival Microwave Oven,,12750.00
Whirlpool Protton 330 Litres Frost Free Triple Door Refrigerator With  Sense ActiveFresh Technology (Onyx Steel),,76234
Godrej Microwave Oven 23 L - GME723CF,,18490.00
Samsung RR20N2441S8  Single Door Refrigerator - Silver,,30490.00
IFB 23BC5 Conv _ Convection Microwave  Oil Free Cooking | Auto Cook Menus |( Black),,23695.00
USB Rechargeable Electronic Jar Water Pump 14 Ratings Questions,,440.00
Electon Seamless Cordless Kettle,,1390.00
Whirlpool   Solo Microwave Oven,,10990.00
Oven Toaster and Grill -. (ELVO-19),,7290.00
Wega   Led Hd,,13990.00
Microwave Oven,,9850.00
Electron DRC 4052 2. Galaxy Rice Cooker,,2875.00
Whirlpool Magicook Pro 30SE  Solo Microwave,,14799.00
Rechargeable Electronic Jar Water Pump,,499.00
"HISENSE 32"" Normal HD LED TV (Black)",,22999.00
Videocon 24Dn5  Tv,,14999.00
Hisense   Double Door Refrigerator,,28990.00
Videocon 32  Videocon Hd Led Tv.(Vma),,17999.00
Godrej Microwave Oven 20 Ltrs. - GMX20SA,,12490.00
Electron  El-5115 Open Rice Cooker - 1.,,2150.00
Videocon 24Dn5  Tv,,14990.00
SAMSUNG RR20C20C2RH/IM  Direct Cool Single Door Refrigerator Scarlet Red,,26499.00
"Rechargeable Electronic Jar Water Pump For House, Office, Shop And Many More",,400.00
Electron Five Blade  Stand Fan El-452-NT (Multicolour),,2949.00
SAMSUNG 3 IN 1 28 Liter Convection MicrowaveOven - MC28H,,27990.00
Idea Js2421Dg  Glass Full Hd Led Tv,,16570.00
Amahi rs Direct Cooling Single Door Mini Refrigerator (AMRSF-130J-Silver)),,15899
Samsung Refrigerator Rt28a3022gs,,45980.00
Lifor LIF-MG20B -  Grill Microwave Oven (Black),,11499.00
Videocon 32Dn  Led Tv,,17999.00
Electron All Utensil Infrared Cooker Stove E-fit,,5375.00
Rechargeable Electronic Jar Water Pump With Warranty,,699.00
Automatic Water Dispenser Pump Automatic Water Dispenser With Rechargeable Battery Electron Water dispenser,,474
Della  Hd Led Smart Tv 3201-S,,23500.00
Idea  Js3921Ds  Smart Full Hd Led Tv,,30890.00
Skyworth Single Door Refrigerator SRS-,,18500.00
Videocon  Led Tv,,17000
RT28A3022GS - Samsung  Frost Free Double Door Refrigerator with Digital Inverter Compressor ( Silver Grey ),,43990.00
Baltra  Bmw-105 Carnival  Solo Microwave Oven - (White),,10900.00
"Wega 32 Inch Led Smart Android 9. Tv, High Sound With Front Glass Protection With Free Wall Mount",,18990.00
Electron Five Blade  Wall Fan With Remote El-549,,3249.00
Godrej Microwave Oven 34 Ltrs - GME734CR-Violet Lily,,29690.00
Haier  Single Door Refrigerator,,23500.00
"RR19M20A2RH/IM - Samsung 192 Ltr Direct Cool Single Door Refrigerator With 1 year full warranty and 5 years warranty on compressor ( Maroon red,  )",,25390.00
"Videocon 24"" Hd Led Tv",,14990.00
WHIRLPOOL 185 Liters Single Door Refrigerator 200 GENIUS CLS  WINE,,24990.00
Panasonic NN-GT342MFDG  Grill Microwave with Power Grill,,21068.00
Whirlpool  Magicook 20Bg  Grill Microwave Oven- Black,,13610.00
Chrome Hotplate Cooktop For Easy Cooking Experience,,4090.00
Baltra Microwave Carnival  | BMW105,,10490.00
Newly Arrivals Wega  Brand Framless Led Tv,,14500.00
Philips 43PFT5813/ Slim Full HD LED Smart TV,,67999.00
Electron Whistle Kettle 4.0 L With  Warrenty( ELEK-424 ),,2080.00
Whirlpool 20l Microwave Oven Model No.:-,,12950.00
WHIRLPOOL 185 Liters Single Door Refrigerator 200 GENIUS CLS  WINE,,23990
Desktop HOT and Chill Dispenser (EL-),,15290.00
Rechargable Electronic Jar Water Pump,,499.00
Godrej Refrigerator 190 Ltr - RD EDGE 205B  JY BLU,,28390.00
Samsung 192ltr Single Dooe Refrigerator - RR19A,210.0,26500.00
Whirlpool Icemagic 185 Litres Single Door Refrigerator ( Prm Sapphire  Linnea),,26899.00
OnePlus 80 cm (32 inches) Y Series HD Ready LED Smart Android TV 1 (Black),,49990.00
"Portable Single Burner Gas Stove For Camping, Picnics, Outdoor, Fishing, BBQ. Electronic Ignition, With 4pcs  Butane Cylinder (Black)",235.0,3049.00
WHIRLPOOL 25 Litres Grill Microwave Oven With 24 Auto Cook Menus(Magicook Pro  Black),25.0,17999.00
Electron Five Blade  Stand Fan With Remote El-454-LR,,3899.00
Samsung 192 Ltr Single Door Refrigerator RR19M20A/IM,,25390.00
